 0, 615.56177,-3.2527859,-5.0874727, 1.8346868,-5.9399902,0.85251747, 9815.2637  0.023666562, 1.0188213
 1360000, 570.79237, -3.518924,-5.2201752, 1.7012513,-6.0343544,0.81417919, 9659.0264,0.13551474,  1.035301
 1370000, 559.52455,-3.5618593,-5.2295267, 1.6676674,-6.0302046,0.80067787, 9644.0284,0.16388311, 1.0369111
 1380000, 565.60066,-3.5449155,-5.2306928, 1.6857773,-6.0254416,0.79474881, 9675.8232,0.13281039, 1.0335038
 1390000, 564.61287,-3.5740914,-5.2569246, 1.6828332,-6.0300186,0.77309396, 9688.9323,0.15375336, 1.0321055
 1400000, 564.49266,-3.5495183,-5.2319932, 1.6824749, -6.036714,0.80472072,  9620.838,0.17792932, 1.0394105
 1410000, 576.41919,-3.4864445,-5.2044665,  1.718022,-6.0086153,0.80414874, 9655.6606  0.071841316, 1.0356619
 1420000, 565.83673,-3.5583008,-5.2447817, 1.6864809,-6.0395915,0.79480973, 9658.2906,0.12840693, 1.0353799
 1430000, 571.74613,-3.5057345,-5.2098284,  1.704094,-6.0109208, 0.8010924, 9723.8312,0.14162627, 1.0284012
 1440000, 571.39008,-3.5507851,-5.2538179, 1.7030327, -6.055036,0.80121818, 9615.3596,0.15702917, 1.0400027
 1450000, 572.11678,-3.5307422,-5.2359409, 1.7051987,-6.0305207,0.79457975, 9710.0147  0.058755198, 1.0298646
 1460000, 567.99886,-3.5101694,-5.2030946, 1.6929252,-6.0040578,0.80096322, 9666.8027,0.13703649, 1.0344682
 1470000,  568.1431, -3.550408,-5.2437631, 1.6933551, -6.051923,0.80815994, 9698.7353  0.022012352, 1.0310623
 1480000, 571.40776,-3.5262063,-5.2292917, 1.7030854,-6.0497422,0.82045048,  9689.239,0.08163695, 1.0320728
 1490000, 568.29664,-3.5648667,-5.2586794, 1.6938127,-6.0478186, 0.7891392,  9641.982,0.11977125, 1.0371312
 1500000,  566.4321,-3.5438875,-5.2321429, 1.6882554,-6.0255486,0.79340573, 9722.4929  0.058864542, 1.0285428
 1510000, 560.94195,-3.5812973,-5.2531893,  1.671892,-6.0589998,0.80581048, 9689.0352  0.037096914, 1.0320945
 1520000, 567.40646,-3.5656217,-5.2567812, 1.6911595,-6.0354371,0.77865587, 9697.0281,0.12273783, 1.0312438
 1530000, 566.89917,-3.5283278,-5.2179753, 1.6896475,-6.0196274,0.80165208, 9724.7  0.069977946, 1.0283094
 1540000, 565.74946,-3.5938532, -5.280074, 1.6862208,-6.0618429,0.78176889, 9613.0982,0.15590061, 1.0402474
 1550000, 572.08561,-3.5391573, -5.244263, 1.7051058,-6.0551477,0.81088466, 9637.7477,0.14214427, 1.0375868
 1560000, 569.62275,-3.5796884,-5.2774536, 1.6977652,-6.0541696,0.77671601, 9615.7995,0.15805861, 1.0399551
 1570000, 567.70631, -3.555132,-5.2471852, 1.6920532,-6.0634563,0.81627107, 9689.3473  0.088481076, 1.0320613
 1580000, 568.03597,-3.5468322, -5.239868, 1.6930358,-6.0267129, 0.7868449, 9727.2175,0.06987093, 1.0280432
 1590000, 567.28283,-3.5385318,-5.2293228,  1.690791,-6.0522438,0.82292099, 9658.7023,0.15447985, 1.0353358
 1600000, 558.90792,-3.5903246,-5.2561542, 1.6658296,-6.0622255,0.80607133, 9670.0493  0.084321486, 1.0341209
 1610000, 559.04472,-3.6133885,-5.2796258, 1.6662373,-6.0723193,0.79269349,  9653.532,0.04384016, 1.0358903
 1620000, 557.18422,-3.6046868,-5.2653789, 1.6606921,-6.0877446,0.82236568, 9614.2174,0.10521497, 1.0401263
 1630000, 559.58729,-3.5876387,-5.2554931, 1.6678544,-6.0653506, 0.8098575, 9657.5572 0.0032842068, 1.0354585
 1640000, 554.76074,-3.6193997,-5.2728686, 1.6534689,-6.0703878,0.79751924,  9618.695,0.17493838, 1.0396421
 1650000, 563.45666,-3.5604024,-5.2397895, 1.6793871,-6.0421297,0.80234025, 9720.3453  0.092440454,1.02877
 1660000,  565.4403,-3.5776732,-5.2629726, 1.6852994,-6.0713743,0.80840167,  9645.728  0.070657237, 1.0367284
 1670000, 559.19613,-3.5852633,-5.2519519, 1.6666886,-6.0561557,0.80420374, 9648.3694  0.053098608, 1.0364446
 1680000, 563.94412,-3.5718669,-5.2527069,1.68084,-6.0439941,0.79128722, 9710.3746  0.098976676, 1.0298264
 1690000,  564.4759,-3.5693378,-5.2517628,  1.682425,-6.0462063,0.79444349,  9655.561,0.15465622, 1.0356726
 1700000, 556.84859,-3.5958815,-5.2555733, 1.6596917,-6.0516632, 0.7960899, 9725.3657  0.025978994,  1.028239
 1710000, 562.58657, -3.564995,-5.2417888, 1.6767938,-6.0558435,0.81405475,  9659.161  0.061482643, 1.0352866
 1720000, 565.65575,-3.5760443,-5.2619858, 1.6859415,-6.0616803,0.79969454, 9730.4262  0.030721343, 1.0277042
